JOB ID          REPLACED PAGE   PLACED PAGE     FRAME           STATUS          
7               42              44              79              NR:NM           
20              41              40              8               NR:NM           
19              32              33              118             NR:NM           
16              5               43              100             NR:NM           
18              55              8               32              NR:NM           
15              5               18              57              NR:NM           
7               90              43              107             NR:NM           
5               45              9               82              NR:NM           
20              17              12              80              NR:NM           
7               44              18              79              NR:NM           
16              42              35              5               NR:NM           
18              31              47              122             NR:NM           
19              6               16              38              NR:NM           
5               61              36              90              NR:NM           
16              43              53              100             NR:NM           
18              8               7               32              NR:NM           
20              40              20              8               NR:NM           
15              7               14              33              NR:NM           
18              47              8               122             NR:NM           
19              5               1               123             NR:M            
5               9               34              82              NR:NM           
15              18              37              57              NR:NM           
18              7               49              32              NR:NM           
7               43              15              107             NR:NM           
16              35              40              5               NR:NM           
19              16              8               38              NR:NM           
5               36              15              90              NR:NM           
7               18              57              79              NR:NM           
16              45              21              71              NR:NM           
20              12              30              80              NR:NM           
15              14              1               33              NR:NM           
18              58              50              110             NR:NM           
5               34              32              82              NR:NM           
15              22              23              96              NR:NM           
18              49              51              32              NR:NM           
16              40              1               5               NR:NM           
20              20              23              8               NR:NM           
5               15              61              90              NR:NM           
18              50              101             110             NR:NM           
7               15              46              107             NR:NM           
19              1               9               123             NR:NM           
5               32              30              82              NR:NM           
15              1               33              33              NR:NM           
16              46              66              49              NR:NM           
20              30              5               80              NR:NM           
7               57              73              79              NR:NM           
15              23              1               96              NR:NM           
18              51              76              32              NR:NM           
7               93              87              44              NR:NM           
15              25              47              52              NR:NM           
18              59              60              7               NR:NM           
19              8               30              38              NR:M            
16              1               9               5               NR:NM           
5               61              2               90              NR:NM           
16              47              46              40              NR:NM           
20              23              24              8               NR:NM           
19              9               16              123             NR:NM           
5               30              55              82              NR:NM           
7               73              30              79              NR:NM           
15              1               22              96              NR:NM           
18              61              31              114             NR:NM           
16              9               12              5               NR:NM           
7               96              89              104             NR:NM           
18              60              89              7               NR:NM           
20              5               15              80              NR:NM           
19              30              8               38              NR:NM           
5               2               68              90              NR:NM           
15              29              51              11              NR:NM           
18              31              83              114             NR:NM           
16              46              59              40              NR:NM           
15              22              11              96              NR:NM           
7               30              59              79              NR:NM           
18              65              35              10              NR:NM           
16              12              31              5               NR:NM           
14              1               18              1               NR:NM           
16              49              47              124             NR:NM           
14              7               16              4               NR:NM           
19              16              4               123             NR:NM           
14              10              5               69              NR:NM           
15              30              10              54              NR:NM           
7               89              56              104             NR:NM           
18              66              70              120             NR:NM           
16              31              1               5               NR:NM           
14              16              9               4               NR:NM           
19              8               15              38              NR:NM           
14              5               4               69              NR:NM           
14              9               15              4               NR:NM           
14              4               0               69              NR:NM           
